Name,Image URL,IMDB Bio Link,Birth Date,Birth Year,Birth Place,About,Height,Alternative Names,Nickname,Trademark,Star Sign
Shah Rukh Khan,"https://m.media-amazon.com/images/M/MV5BZDk1ZmU0NGYtMzQ2Yi00N2NjLTkyNWEtZWE2NTU4NTJiZGUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR4,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0451321/bio,November 2,1965,"New Delhi, India","Shahrukh Khan was born on 2 November 1965 in New Delhi, India. He married Gauri Khan on 25 October 1991. They have three children, son Aryan Khan (b. 1997), son AbRam (b.2013) and daughter Suhana (b. 2000). Khan started out his career by appearing in several television serials during 1988-1990. He made his film debut with the commercially ... Read more from IMDB Bio Link","5' 6¼"" (1.69 m)","King Khan,Shahrukh Khan,Sharoukh Khan,Shah Rukh",SRK,His Dimples,Scorpio
Shabana Azmi,"https://m.media-amazon.com/images/M/MV5BMTQ1NTE0NDgxMl5BMl5BanBnXkFtZTYwNzMyODEz._V1_UY317_CR28,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0000818/bio,September 18,1950,"New Delhi, India","One of the leading lights of the now-largely-defunct Indian New Wave, Shabana Azmi (alongside the late","5' 6"" (1.68 m)","Shabana Asmi,Shabbana Azmi",,,Virgo
Saif Ali Khan,"https://m.media-amazon.com/images/M/MV5BMTUyNjI2NTg3M15BMl5BanBnXkFtZTcwNDEzNDg3OA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0451307/bio,August 16,1970,"New Delhi, India","Saif is the son of Bollywood actress, Sharmila Tagore, and Indian cricketer, Mansoor Ali Khan. Both his grandfather, Iftikhar Ali Khan Pataudi, and father were professional cricketers. His mother, Sharmila Tagore, an actress within her own rights. He has two sisters, Bollywood actress","5' 6"" (1.68 m)","Saif Khan,Chote Nawab,Saif Ali Khan Pataudi,The Saif Ali Khan",Chote Nawab,His smile,Leo
Randeep Hooda,"https://m.media-amazon.com/images/M/MV5BMjk4NjkxNTkxMl5BMl5BanBnXkFtZTgwMzUwNDA3NDE@._V1_UY317_CR51,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0393535/bio,August 20,1976,"Rohtak, Haryana, India","Randeep Hooda was born in a small village called Daseya in the Rohtak district of Haryana. His mother, Asha Hooda, is a BJP politician and his father is a surgeon by profession. He did schooling from Delhi Public School before moving to Australia for higher studies. He is Bachelors in Marketing & Human Resource Management. He made his film debut in... Read more from IMDB Bio Link","5' 10"" (1.78 m)",,,,Leo
Raju Srivastava,"https://m.media-amazon.com/images/M/MV5BZjc5MTYwYjEtZmJiMC00YzA3LThiZGYtMWY2NjE2ZDNmYWFjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1555152/bio,December 25,1963,"Kanpur, Uttar Pradesh, India","Raju Srivastav (born Satyaprakash Srivastava) often credited as Raju Shrivastav or Raju Srivastava, is an Indian comedian, and more popularly, an observational comedian. He is known most for his acute scrutiny and comical timing about various Indian aspects of life. Satyaprakash Srivastava was born in Kanpur, India in a middle class Kayastha family... Read more from IMDB Bio Link",,"Rajoo,Raju Shrivashtav,Raju Shrivastav,Raju Srivastav",,,Capricorn
Sanjay Mishra,"https://m.media-amazon.com/images/M/MV5BMTM0OTU2NDYyNl5BMl5BanBnXkFtZTYwNTYyNDgy._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0592799/bio,,,,Sanjay Mishra is known for his work on,"5' 5½"" (1.66 m)","Mishra Mahesh,Sanjai Mishra,Sanjay Misra",,,
Shakti Kapoor,"https://m.media-amazon.com/images/M/MV5BMTY2MDE1MTQ2N15BMl5BanBnXkFtZTgwNTk2OTczOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0007106/bio,September 3,1952,"New Delhi, India",Shakti Kapoor is one of the most comic actors to grace the Bollywood screen. Since the start of his career he has done more than 300 films. He had been often nominated for the Filmfare Award in the most comic performance category. His on-screen pairing with another comic actor Kader Khan as the latter's son has often led to laughable comedies. ... Read more from IMDB Bio Link,"5' 9"" (1.75 m)","Duplicate Shakti Kapoor,Sakthi Kapoor,Shakthi Kapoor,Shakti Kapur",,,Virgo
Rajpal Yadav,"https://m.media-amazon.com/images/M/MV5BMTQ3MTI4MzUyNl5BMl5BanBnXkFtZTgwMjAzMTMzOTE@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1056425/bio,March 16,1971,"Shahjahanpur, Uttar Pradesh, India","Rajpal Yadav was born on March 16, 1971 in Shahjahanpur, Uttar Pradesh, India. He is an actor and writer, known for","5' 3"" (1.6 m)",Raajpal Yadav,,,Pisces
Richa Chadha,"https://m.media-amazon.com/images/M/MV5BOTQ3MzVkNjUtODYwNi00N2Q2LTg3YTAtNDUxM2JiNDViN2IyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR19,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm3190246/bio,,,,"Richa began her career as a model and then she moved to theater. She has performed plays touring in India and Pakistan. Later, she also received her training under Barry John Richa acted in the critically acclaimed movie Oye Lucky! Lucky Oye! as the character of Dolly, both the movie and her role were well appreciated. She was cast by Anurag ... Read more from IMDB Bio Link","5' 1¾"" (1.57 m)",Richa Chadda,,,
Ranvir Shorey,"https://m.media-amazon.com/images/M/MV5BMTIzOTE5MzMyMl5BMl5BanBnXkFtZTcwMjAyNzAyMg@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1249116/bio,August 18,1972,"Jalandhar, Punjab, India","Ranvir comes from a family of movie professionals. His father is Writer, Producer and Director KD Shorey and He has 2 older Brothers, Lokesh Shorey an actor and Shrinath Shorey a movie Writer and Director. Ranvir though born in Panjab, was raised and educated in Mumbai. He was very active in dramatics in school and later in college.",6' (1.83 m),"Ranvir Sheorey,Ranvir Shoerey,Ranveer Shorey,Ranveer Shourie",,,Leo
Rajit Kapoor,"https://m.media-amazon.com/images/M/MV5BZDhlNDEwMjgtMWY5NC00MGEyLThhODEtZjAyYzIyMmU1ZDUxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR13,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0438496/bio,May 22,1960,"Amritsar, Punjab, India","Rajit Kapoor was born on May 22, 1960 in Amritsar, Punjab, India. He is an actor and director, known for",,Rajit Kapur,,,Gemini
Riteish Deshmukh,"https://m.media-amazon.com/images/M/MV5BMTU3NDM3NDM3Ml5BMl5BanBnXkFtZTgwMzk4ODEzOTE@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1299011/bio,December 17,1978,"Latur, Maharashtra, India","Riteish Deshmukh is an Indian actor, producer and architect who appears in Bollywood films. He is the son of Late. Vilasrao Deshmukh, the former Union Minister for Science, Technology and Earth Sciences, Government of India, and the former Chief Minister of Maharashtra. Riteish debuted with K. Vijaya Bhaskar's Tujhe Meri Kasam (2003) with his ... Read more from IMDB Bio Link","5' 8"" (1.73 m)","Ritesh Deshmukh,Ritiesh Deshmukh,Riteish",Ritesh D,,Sagittarius
Rakhee Gulzar,"https://m.media-amazon.com/images/M/MV5BMDVlNTM4YTUtNjA2My00OWQ0LThjYzAtYmU0ZGQ0NGE3YjQ1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0347901/bio,August 15,1947,"Ranaghat, West Bengal, India","Rakhee was born in a Bengali-speaking family in West Bengal, on India's Independence Day - 15th August, 1947. She has no connections with anyone in the film industry in India. She achieved phenomenal success at her very first movie in Bengali 'Bandhu Baran' during the year 1967. She was then noticed by noted Bollywood actor, Sunil Dutt, who ... Read more from IMDB Bio Link","5' 2½"" (1.59 m)","Rakhee Biswas,Raakhee Gulzar,Raakhi Gulzar,Raakhee,Rakhee,Rakhi",,,Leo
Raj Kapoor,"https://m.media-amazon.com/images/M/MV5BNjYwODQzMjk3Ml5BMl5BanBnXkFtZTYwNzIxMjky._V1_UY317_CR13,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0004292/bio,December 14,1924,"Peshawar, North-West Frontier Province, British India","Raj Kapoor was the son of well-known Indian actor Prithviraj Kapoor, who acted both in film and on stage. After apprenticing in the Bollywood production studios of the 1940's, at 24 years of age Raj Kapoor produced, directed and acted in","5' 7"" (1.7 m)","Late Shri Raj Kapoor,Shri Raj Kapoor",Showman of Bollywood,,Sagittarius
Raghuvaran,"https://m.media-amazon.com/images/M/MV5BZjM0NmMyZTYtYmY3My00NDFkLTk1YTAtOGE3YTVjMGMyNzQ5XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0706499/bio,December 10,1958,"Kollankod, Palakkad, Kerala, India","Raghuvaran was born on December 10, 1958 in Kollankod, Palakkad, Kerala, India as Raghuvaran Velayutham Nair. He was an actor, known for",,Raguvaran,,,Sagittarius
Radhika Apte,"https://m.media-amazon.com/images/M/MV5BZmQ0NjY5YmItMTAwOC00MWVlLThkZTgtYmZhMDg1ZjY2ODMwXkEyXkFqcGdeQXVyNjM5MTI3ODQ@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm2331000/bio,,,,"Radhika Apte is a well-known Indian theatre and film actress born in Vellore and brought up in Pune. Before endeavoring into films, she began with theatre. Radhika Apte is a perfect example of beauty with brains. Apte is an Economics and Mathematics graduate from Fergusson College, Pune. Apte during her growing up days in Pune, she learned Kathak ... Read more from IMDB Bio Link","5' 1½"" (1.56 m)",,,,
Raj Babbar,"https://m.media-amazon.com/images/M/MV5BMTQ1MjEwMjM3MF5BMl5BanBnXkFtZTgwNjM4NDczMDE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0044796/bio,June 23,1952,"Tundla, Uttar Pradesh, India","Raj Babbar was born on June 23, 1952 in Tundla, Uttar Pradesh, India. He is an actor, known for","5' 7"" (1.7 m)",Raaj Babbar,,,Cancer
Rishi Kapoor,"https://m.media-amazon.com/images/M/MV5BMjJmNjM1YmUtNTA2Zi00Y2U0LTgyZTItMjQ5MTE4NWJhMDgyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR15,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0438501/bio,September 4,1952,"Bombay, State of Bombay, India","Born in south Mumbai, Kapoor is the second son of film director and actor Raj Kapoor. He did his schooling with his brothers at Campion School,Mumbai. His brothers are well-known actors, Randhir Kapoor and Rajiv Kapoor. Rishi Kapoor debuted in his father's 1970 film Mera Naam Joker, playing his father's role as a child. Rishi Kapoor had his first ... Read more from IMDB Bio Link","5' 5¼"" (1.65 m)",,Chintoo,,Virgo
Rajesh Khanna,"https://m.media-amazon.com/images/M/MV5BMTQ1OTE5NDEwNV5BMl5BanBnXkFtZTcwNjgzMTcxOA@@._V1_UY317_CR2,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0004435/bio,December 29,1942,"Amritsar, Punjab, British India [now India]","Rajesh Khanna, the first superstar of Indian and Hindi Cinema with 74 Golden Jubilee Hits - (which includes 48 Platinum Jubilee hits and 26 Golden Jubilee Hits) & in addition had 22 Silver Jubilee Hits and 9 average hits, was born on 29 December 1942 in Amritsar, Punjab, India.Rajesh entered Hindi films in the year 1965 when he began shooting for ... Read more from IMDB Bio Link","5' 6¼"" (1.69 m)","'SuperStar' Rajesh Khanna,'Superstar' Rajesh Khanna,Bombay Super Star Rajesh Khanna,Bombay Superstar Rajesh Khanna,Shri Rajesh Khanna,Super Star Rajesh Khanna,Superstar Rajesh Khanna",RK,,Capricorn
Ranveer Singh,"https://m.media-amazon.com/images/M/MV5BMTExOTcwMDU4NTReQTJeQWpwZ15BbWU3MDA0MjE1MTc@._V1_UY317_CR1,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm3828984/bio,July 6,1985,"Bombay, Maharashtra, India","Ranveer Singh is an Indian actor working in Bollywood. Born in Mumbai, India, Ranveer Singh had always wanted to be an actor since his childhood. However, during his college days he felt that the idea of acting was far-fetched and focused on creative writing. While pursuing his Bachelor of Arts degree from Indiana University (Bloomington), Singh ... Read more from IMDB Bio Link","5' 8"" (1.73 m)",,,,Cancer
Rani Mukerji,"https://m.media-amazon.com/images/M/MV5BMjI4MjI2MTEwOV5BMl5BanBnXkFtZTgwMzkxMDU0OTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0611552/bio,March 21,1978,"Calcutta, West Bengal, India","Mukerji comes from a film-oriented family of Bengali origin. Her father,",5' (1.52 m),"Rani Mukherje,Rani Mukherjee,Rani Mukherji,Ranee",,Queen of Bollywood,Aries
Raaj Kumar,"https://m.media-amazon.com/images/M/MV5BZjNlMTdhYjYtODI0My00OTA2LTlkM2QtMGU5N2RhNWVlMWVjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0474855/bio,October 8,1926,"Loralai, Baluchistan, British India","Raaj Kumar was born on October 8, 1926 in Loralai, Baluchistan, British India as Kulbhushan Pandit. He is known for his work on",,Raj Kumar,Jaani,,Libra
Revathy,"https://m.media-amazon.com/images/M/MV5BZjc4NTAwMmQtMWQyMS00NGU4LWEzNmYtZTMyODJhOGZjMGRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0720763/bio,July 8,1966,"Kochi, Kerala, India","Revathy was born on July 8, 1966 in Kochi, Kerala, India as Asha Kelunni. She is an actress and director, known for",,"Revathi Menon,Revathy Menon,Revathi",,,Cancer
Ramya Krishnan,"https://m.media-amazon.com/images/M/MV5BZThmMmJlZGQtZDgyMy00YmIyLTk1NDQtMGQ0N2EzYzUxMWNiXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0471447/bio,September 15,1970,"Madras, Tamil Nadu, India","Ramya Krishnan was born on September 15, 1970 in Madras, Tamil Nadu, India. She is an actress, known for","5' 4"" (1.63 m)","Ramya Krishna,Ramiya Krishnan,Ramyah Krishnan,Ramyah,Ramyakrishnan,Ramya",,,Virgo
Rajinikanth,"https://m.media-amazon.com/images/M/MV5BMTA3MDcyNzkxMjZeQTJeQWpwZ15BbWU3MDUxMTU4Njg@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0707425/bio,December 12,1950,"Bangalore, Mysore State, India","Rajinikanth has been a megastar in the Tamil movie industry since the 70s. He is one of the highest earning actors in Asia. Primarily starring in Tamil movies, he has also worked in Hindi, Telugu, Kannada, and American movies. He was born in Bangalore (India), and was employed as a bus conductor before he joined the Madras Film Institute. He made ... Read more from IMDB Bio Link","5' 7"" (1.7 m)","Rajanikanth,'SuperStar' RajiniKanth,Rajinikant,Rajnikanth,Rajnikant",Thalaivar,Style Icon,Sagittarius
Ranbir Kapoor,"https://m.media-amazon.com/images/M/MV5BMTk2ODU5Mjk2MV5BMl5BanBnXkFtZTcwODEzNDg3OA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1633541/bio,September 28,1982,"Mumbai, India","Son of Rishi Kapoor and Neetu Singh; nephew of actors Randhir Kapoor, Rajiv Kapoor, Kunal Kapoor. Grandnephew of actors Shashi Kapoor, Jennifer Kendal, Shammi Kapoor, Geeta Bali; cousin of actresses Kareena Kapoor, Karisma Kapoor. Belongs to the fourth generation of highly prestigious and considered to be the first family of Bollywood (Hindi film ... Read more from IMDB Bio Link",,Ranbhir Kapoor,Dabbu,,Libra
Rahul Bose,"https://m.media-amazon.com/images/M/MV5BMjE2MjY2ODY4N15BMl5BanBnXkFtZTgwNDcwMTE0OTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0097893/bio,July 27,1967,India,"Rahul Bose was born on July 27, 1967 in India. He is an actor and writer, known for","5' 6"" (1.68 m)",,,,Leo
Rajendra Kumar,"https://m.media-amazon.com/images/M/MV5BMTYwY2Y5ZWUtOGMxZC00ZDZlLWEzNGUtYmJkMGU3YTNhNWE3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR26,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0006348/bio,July 20,1929,"Sialkot, Punjab, British India","Rajendra was born in the Punjabi-speaking Tuli family on July 12, 1929, in Sialkot, British India (now located in Pakistan). After the turbulent years of partition, at the age of 21, Rajendra got his first break in 'Jogan' during 1950. He attained fame in 'Mother India' during 1957, playing the son of Nargis Dutt. He went on to star in many movies, ... Read more from IMDB Bio Link","5' 8"" (1.73 m)","Rajender Kumar,Rajinder Kumar,Rajendrakumar",Jubilee Kumar,,Cancer
Raghuvir Yadav,"https://m.media-amazon.com/images/M/MV5BNTIzOWZhMjctNTBkMi00YTc0LThhOGYtMDFlZmI4ZmNkZTZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR4,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0944834/bio,June 25,1957,"Jabalpur, Madhya Pradesh, India","Raghuvir Yadav was born on June 25, 1957 in Jabalpur, Madhya Pradesh, India. He is known for his work on",,"Ragbubir Yadav,Raghubir Yadav,Raghuveer Yadav,Rhaghuvir Yadav,Rhagubir Yadav,Raghuvir Yadhav",,,Cancer
Rajkummar Rao,"https://m.media-amazon.com/images/M/MV5BMzAxNWIzOWItMDM1NC00NGMyLWIwMDEtNWZjODEyOTFiZjQ4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm3822770/bio,,,,Raj Kumar is also known as Rajkummar Rao. He was born in Gurgaon. He finished his schooling in Gurgaon and graduated in Arts from Delhi University. He was simultaneously doing theatre with Kshitij Repertory and SRC in Delhi. He is an Acting graduate from Pune's Film and Television Institute of India. Raj Kumar's debut film was Dibakar Banerjee's ... Read more from IMDB Bio Link,"5' 7"" (1.7 m)","Raj Kumar,Raj Kumar Yadav",,,
Ratna Pathak Shah,"https://m.media-amazon.com/images/M/MV5BMjQwMzc5NDQ0NF5BMl5BanBnXkFtZTgwNDg1ODA0OTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0665550/bio,March 18,1963,"Bombay, Maharashtra, India","Ratna Pathak Shah was born on March 18, 1963 in Bombay, Maharashtra, India. She is an actress, known for",,Ratna Pathak,,,Pisces
Rahul Dev,"https://m.media-amazon.com/images/M/MV5BZjQxMTRhNzktZmM4OS00ZmZlLTkxYzYtMmI1ZWMzNTFmMTdkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR19,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0222144/bio,,,,"Rahul Dev was born as Rahul Dev Kaushal. He is an actor, known for",,,,,
Pooja Bhatt,"https://m.media-amazon.com/images/M/MV5BNTkxOTIwNzYxMl5BMl5BanBnXkFtZTgwMDE5OTczOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0080324/bio,February 24,1972,"Bombay, Maharashtra, India","Pooja was born on February 24, 1972 in the Gujarati-speaking Bhatt family. Her dad's name is Mahesh, and her mom's maiden name was Loraine Bright. After the marriage, her mother changed her name to Kiran Bhatt. Mahesh separated from Loraine and re-married Soni Razdan, an actress in her own right. The Bhatts live in Bandra, Bombay. She has two ... Read more from IMDB Bio Link","5' 1"" (1.55 m)","Pooja Munish Makhija,Poojabhatt,Pooja Udham Singh",Bhoot Bhatt,,Pisces
Piyush Mishra,"https://m.media-amazon.com/images/M/MV5BMDc5MGFlZTMtMmQ1Zi00YjkxLWE3ZGItZGNkNTExYjJhNGFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR13,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0592795/bio,,,,"Piyush Mishra, is an Indian film actor, music director ,lyricist, singer, script and dialogue writer, and a well known theatre director and Hindi playwright. He spent his early life in Gwalior, where he received his education. Theater and television After his graduation from National School of Drama (NSD), New Delhi in 1986, Piyush Mishra started ... Read more from IMDB Bio Link",,,,,
Prashant Narayanan,"https://m.media-amazon.com/images/M/MV5BNjFlYjBjY2ItMGIxMi00ZTAzLThhMmEtM2M2NDk0OWViYmFlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR14,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1241910/bio,,,,"Prashant Narayanan is an actor and assistant director, known for",,"Prashant Narayannan,Prroshant Narayannan,Prroshant Naroyannan",,,
Rekha,"https://m.media-amazon.com/images/M/MV5BNjU2MDU4NzI5OF5BMl5BanBnXkFtZTcwNjQ4Njg5Nw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0004334/bio,October 10,1954,"Madras, Madras State, India","Bhanurekha was born in the Tamil-speaking Ganesan household on October 10, 1954. Her dad was the popular Tamil actor, Gemini, while her mom was a popular Telugu actress, Pushpavalli. She has seven sisters and one brother. One of her sisters is Dr. Kamala Selvaraj, while another one, Radha, lives in San Francisco with a son named Naveed, who is ... Read more from IMDB Bio Link","5' 5¼"" (1.65 m)","Baby Bhanurekha,Bhanurekha",Madame X,Her seductive voice,Libra
Rajat Kapoor,"https://m.media-amazon.com/images/M/MV5BNDBlM2ZiZmEtYzYyMC00ZWNlLTkxMzQtOGFlMzgxZDg5NjdhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR18,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0438494/bio,February 11,1961,"New Delhi, India","Rajat Kapoor was born on February 11, 1961 in New Delhi, India. He is an actor and director, known for",,,,,Aquarius
Pavan Malhotra,"https://m.media-amazon.com/images/M/MV5BNDlkYzllMDktZDk5OC00NWM5LTgzM2ItMmYxYTM4ZmMwODQ4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0539497/bio,July 2,1958,"Delhi, India","Pavan Malhotra was born on July 2, 1958 in Delhi, India. He is an actor, known for","5' 6"" (1.68 m)","Pavan Raj Malhotra,Pawan Malhotra,Pavan Mallhotra",,,Cancer
Pankaj Kapur,"https://m.media-amazon.com/images/M/MV5BZTY2NjI0ZjYtMDM2My00ZjE1LWFiNmQtYWI3OGY2NDgwNTE3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR4,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0438488/bio,May 29,1954,"Ludhiana, Punjab, India","Pankaj Kapur the acclaimed film, television and stage actor signified the young crop of great actors of which Om Puri, Naseeruddin Shah and Ifran Khan formed a part. Unlike his other counterparts Kapur hasn't broken the vow to work only in good Art and Independent projects. A perfect actor Pankaj Kapur did his engineering from New Delhi topping ... Read more from IMDB Bio Link",,Pankaj Kapoor,,,Gemini
Prabhas,"https://m.media-amazon.com/images/M/MV5BMjliZmI3YmMtYWU1NS00MjVlLTkxZTQtYjIzYzFkNWNjOTZkXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1659141/bio,October 23,1979,"Madras, Tamil Nadu, India","Prabhas was born to late U. Suryanarayana Raju and Siva Kumari. His family is from Mogalturu village and later moved to bhimavaram in West Godavari district, Andhra Pradesh. He is the youngest of three children, with an elder brother Pramod Uppalapati and sister Pragathi. He is the nephew of Telugu actor Uppalapati Krishnam Raju",6' (1.83 m),,Darling,Height,Scorpio
Prem Chopra,"https://m.media-amazon.com/images/M/MV5BM2U2OTEzM2UtMjhlNC00NTYxLWI5MDItM2RjYzNhYmNhYWFmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR8,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0159159/bio,September 23,1935,"Lahore, Punjab, British India",Prem Chopra is an actor in Hindi and Punjabi films. Prem Chopra was born to a Hindu Punjabi family in Lahore on 23 September 1935 to Ranbirlal and Rooprani Chopra. He was third of six children.His father worked at the attorney-general's office. He was brought up in Shimla. His father wanted him to be a IAS officer but Chopra pursued performing ... Read more from IMDB Bio Link,"6' 2"" (1.88 m)",Premchopra,,,Libra
Prabhu Deva,"https://m.media-amazon.com/images/M/MV5BMTY4MzAyODE3NV5BMl5BanBnXkFtZTcwMjM3Mjc4OQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0222150/bio,,,,Prabhu Deva was born as Prabhu Sundaram. He is known for his work on,"5' 7½"" (1.71 m)","Pradbhu Dheva,Prabhudeva,Prabhudheva,Prabhu,Prabudheva,Prabu",,,
Paresh Rawal,"https://m.media-amazon.com/images/M/MV5BMjI4Mjg2MjgxMV5BMl5BanBnXkFtZTgwNDYyMTIzOTE@._V1_UY317_CR133,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0712546/bio,May 30,1950,"Bombay, State of Bombay, India","Paresh Rawal was born on May 30, 1950 in Bombay, State of Bombay, India. He is a producer and actor, known for","5' 8"" (1.73 m)","Paresh Raval,Paresssh Rawal/Paresh Rawwwal",,,Gemini
Priyanka Chopra,"https://m.media-amazon.com/images/M/MV5BMjAxNzUwNjExOV5BMl5BanBnXkFtZTcwNDUyMTUxNw@@._V1_UY317_CR105,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1231899/bio,July 18,1982,"Jamshedpur, Bihar, India","Priyanka Chopra Jonas (née Chopra) was born on July 18, 1982 in Jamshedpur, India, to the family of Capt. Dr. Ashok Chopra and Dr. Madhu Chopra, both Indian Army physicians. She had a very varied upbringing. She started her education at La Martinière Girls College in Lucknow as a resident student; a short stay at Maria Goretti College in Bareilly ... Read more from IMDB Bio Link","5' 5"" (1.65 m)",Priyanka Chopra Jonas,Pri,Beautiful smile,Cancer
Prakash Raj,"https://m.media-amazon.com/images/M/MV5BMjQ2MjA4NjU0MF5BMl5BanBnXkFtZTgwMTgwMDMzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0695177/bio,March 26,1965,"Bangalore, Mysore State, India","Prakash Raj was born on March 26, 1965 in Bangalore, Mysore State, India as Prakash Rai. He is an actor and producer, known for","5' 7½"" (1.71 m)","Prakashraj,Prakash Raaj,Prakash Rai",,,Aries
Pran,"https://m.media-amazon.com/images/M/MV5BMTQ1MDc2Mjc2OF5BMl5BanBnXkFtZTcwMTc1MDU4OQ@@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0695199/bio,February 12,1920,"Delhi, British India","Pran was one of the leading character actors of Indian cinema. He was born on 12 February,1920 at Delhi. Pran was educated at different places namely Kapurthala, Unnao, Meerut, Dehradun and Rampur as his father late Lala Kewal Krishnan Sikand was a Government Civil Contractor for the construction of roads and bridges. Pran started his career by ... Read more from IMDB Bio Link","5' 7"" (1.7 m)",Pran Krishna,,,Aquarius
Nafisa Ali,"https://m.media-amazon.com/images/M/MV5BNDBkYTI0OWMtNmMzOC00MDc5LTgwNGEtZTQ1MGQ2MWViNjAxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR51,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0019465/bio,,,,"Nafisa Ali is an actress, known for","5' 6"" (1.68 m)",,,,
